CLIENTE,EDO,FOLIO,PRODUCTO,TONS,MONTO
ALGODONERA CACHANILLA S.A. DE C.V.,BC,20140018,ALGODÓN,1587.5751830247,1025896.0355
ALGODONERA CACHANILLA S.A. DE C.V.,BC,20140018,ALGODÓN,226.7964547178,146556.5765
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940011,BOVINO,362.8743275485,128268.0592
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940011,BOVINO,362.8743275485,132668.0592
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940029,BOVINO,544.3114913228,260723.0016
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940029,BOVINO,181.4371637743,88007.6672
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940037,BOVINO,362.8743275485,185309.2328
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940045,BOVINO,272.1557456614,114242.9361
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940052,BOVINO,362.8743275485,169436.534
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940060,BOVINO,272.1557456614,154348.09245
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940078,BOVINO,907.1858188713,481862.984
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940086,BOVINO,889.0421024939,467807.79416
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940086,BOVINO,18.1437163774,8887.09784
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940110,BOVINO,2322.3956963105,900572.6208
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940128,BOVINO,1705.509339478,606017.1352
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940136,BOVINO,2394.9705618202,655929.89352
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940144,BOVINO,54.4311491323,12190.21719
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940144,BOVINO,1433.3535938166,338389.05267
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940151,BOVINO,1741.7967722329,431306.2128
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940169,BOVINO,580.5989240776,120847.60544
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940177,BOVINO,362.8743275485,125430.4136
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940185,BOVINO,1669.2219067232,242410.15232
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940185,BOVINO,1161.1978481552,154553.14944
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940185,BOVINO,145.1497310194,15799.14368
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940193,BOVINO,2213.5333980459,522039.8544
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940193,BOVINO,1959.521368762,509653.6416
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940201,BOVINO,1741.7967722329,641845.92768
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940219,BOVINO,907.1858188713,228403.097
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940227,BOVINO,689.4612223422,134685.9536
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940235,BOVINO,18.1437163774,1936.011
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940235,BOVINO,2249.8208308008,240065.364
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940235,BOVINO,925.3295352487,98736.561
SUKARNE PRODUCCIÓN S.A. DE C.V.,BC,20940243,BOVINO,1270.0601464198,214028.836
SUKARNE PRODUCCIÓN SA DE CV,BC,20940250,BOVINO,1814.3716377426,585761.2
SUKARNE PRODUCCIÓN SA DE CV,BC,20940250,BOVINO,1360.7787283069,473130.9
SUKARNE PRODUCCIÓN SA DE CV,BC,20940268,BOVINO,1632.9344739683,402824.2824
AGRICULTORES UNIDOS DE CUAUHTEMOC SPR DE RL DE CV,CHIH,80240088,MAÍZ,2921.1356867527,480499.992
AGRICULTORES UNIDOS DE CUAUHTEMOC SPR DE RL DE CV,CHIH,80240252,MAÍZ,2032.0943907845,163211.52
AGROINDUSTRIAL ZARAGOZA SA DE CV,CHIH,80240070,MAÍZ,2921.1356867527,231294.13755
ALIMENTOS CONCENTRADOS DE CHIHUAHUA,CHIH,80240245,MAÍZ,2032.0943907845,29791.18848
ALMIDONES MEXICANOS SA DE CV,CHIH,80240153,MAÍZ,127.005899424,18915.2
ALMIDONES MEXICANOS SA DE CV,CHIH,80240153,MAÍZ,1270.0589942403,189152
ALMIDONES MEXICANOS SA DE CV,CHIH,80240153,MAÍZ,7239.3362671696,1078166.4
ALMIDONES MEXICANOS SA DE CV,CHIH,80240153,MAÍZ,19939.9262095724,2969686.4
ALMIDONES MEXICANOS SA DE CV,CHIH,80240153,MAÍZ,11430.5309481625,1702368
ALMIDONES MEXICANOS SA DE CV,CHIH,80240161,MAÍZ,4572.212379265,680947.2
ALMIDONES MEXICANOS SA DE CV,CHIH,80240161,MAÍZ,9017.418859106,1342979.2
ALMIDONES MEXICANOS SA DE CV,CHIH,80240161,MAÍZ,6350.2949712014,945760
ALMIDONES MEXICANOS SA DE CV,CHIH,80240260,MAÍZ,40006.8583185689,3084238.08
CONCENTRADOS BOVILAC SPR DE RL,CHIH,80240104,MAÍZ,5969.2772729293,472644.54195
